
2024/10/03 (17:49:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/03 (17:49:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/03 (21:48:14) | ===> btop++ v.1.4.0
2024/10/03 (21:48:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/03 (21:48:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (11:38:47) | ===> btop++ v.1.4.0
2024/10/04 (11:38:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/04 (11:38:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (11:38:54) | ===> btop++ v.1.4.0
2024/10/04 (11:38:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/04 (11:38:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (20:48:42) | ===> btop++ v.1.4.0
2024/10/04 (20:48:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/04 (20:48:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (21:38:47) | ===> btop++ v.1.4.0
2024/10/04 (21:38:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/04 (21:38:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (23:05:21) | ===> btop++ v.1.4.0
2024/10/04 (23:05:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/04 (23:05:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (21:17:41) | ===> btop++ v.1.4.0
2024/10/07 (21:17:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/07 (21:17:41) | WARNING: Intel GPU: Failed to initialize PMU
2024/10/07 (22:31:33) | ERROR: Stall in Runner thread, restarting!

2024/10/07 (22:32:24) | ===> btop++ v.1.4.0
2024/10/07 (22:32:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/07 (22:32:25) | WARNING: Intel GPU: Failed to initialize PMU
2024/10/07 (22:33:06) | ERROR: Stall in Runner thread, restarting!

2024/10/07 (22:38:38) | ===> btop++ v.1.4.0
2024/10/07 (22:38:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/07 (22:38:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (12:26:25) | ===> btop++ v.1.4.0
2024/10/09 (12:26:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/09 (12:26:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/09 (13:07:34) | ===> btop++ v.1.4.0
2024/10/09 (13:07:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/09 (13:07:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (02:01:30) | ===> btop++ v.1.4.0
2024/10/11 (02:01:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/11 (02:01:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (02:02:17) | ===> btop++ v.1.4.0
2024/10/11 (02:02:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/11 (02:02:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (02:02:44) | ===> btop++ v.1.4.0
2024/10/11 (02:02:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/11 (02:02:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (02:03:28) | ===> btop++ v.1.4.0
2024/10/11 (02:03:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/11 (02:03:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (02:05:05) | ===> btop++ v.1.4.0
2024/10/11 (02:05:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/11 (02:05:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (17:57:58) | ===> btop++ v.1.4.0
2024/10/11 (17:57:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/11 (17:57:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (20:24:58) | ===> btop++ v.1.4.0
2024/10/13 (20:24:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/13 (20:24:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (20:32:54) | ===> btop++ v.1.4.0
2024/10/13 (20:32:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/13 (20:32:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/28 (20:19:31) | ===> btop++ v.1.4.0
2024/10/28 (20:19:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/28 (20:19:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (11:29:10) | ===> btop++ v.1.4.0
2024/10/29 (11:29:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/29 (11:29:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (15:26:00) | ===> btop++ v.1.4.0
2024/10/29 (15:26:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/29 (15:26:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (11:49:05) | ===> btop++ v.1.4.0
2024/10/30 (11:49:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/30 (11:49:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/30 (15:12:03) | ===> btop++ v.1.4.0
2024/10/30 (15:12:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/30 (15:12:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (10:23:41) | ===> btop++ v.1.4.0
